filename,relevant_text_segment,assigned_subject
11190024.pdf,es analizar la naturaleza jurídica del miedo insuperable. Los objetivos específicos de la investigación son: 1. Estudiar el miedo insuperable a partir de la jurisprudencia y la dogmática chilena. 2. Indagar en las dificultades que presenta el miedo insuperable en la determinación e interpretación de sus requisitos. 3. Examinar cuáles son las diferencias o semejanzas que exhiben el miedo insuperable y el estado de necesidad. 4. Cuestionar una interpretación meramente objetiva y analógica del miedo insuperable en relación con el estado de necesidad y ofrecer un modelo alternativo. 5. Contrastar...,Filosofía del Derecho
11190036.pdf,"En el derecho chileno, el tratamiento de diversos problemas vinculados a la prueba ilícita en el proceso penal, que exceden las hipótesis reguladas por el legislador, constituye un aspecto, hasta ahora, escasamente abordado por la literatura nacional. Atendido que el tenor literal del artículo 276 inc. 3° del CPP, no abarca a totalidad de los problemas globalmente estudiados a partir de la mencionada teoría, el objetivo de este proyecto es efectuar un análisis de la exclusión de prueba en el proceso penal que exceda el análisis estricto de la regla referida. Se pretende enfocar la...",Derecho Procesal
11190168.pdf,"de esta Investigación consiste en determinar, a partir del análisis de la práctica arbitral, la existencia de pautas para la formulación de políticas públicas para la protección de inversiones chilenos en el exterior ante expropiaciones indirectas. Los objetivos específicos son tres: 1. Analizar los criterios utilizados por los tribunales arbitrales para determinar la existencia de expropiaciones indirectas; 2. Presentar, a partir de los hallazgos encontrados, sugerencias de carácter legal y fáctico a inversionistas chilenos que constituyan alertas de posibles situaciones de riesgo de...",Derecho Internacional
11190188.pdf,". Formular un estudio sistemático relativo a las adaptaciones que ha experimentado el derecho de la responsabilidad en diversas latitudes en lo que respecta la demostración de la causalidad, cuando es reconocida como difusa o alternativa, e inserta en un contexto de injustificación científica vinculado a la salud pública. Ello nos permitirá justificar, en primer lugar, que es el criterio de creación anormal de un riesgo, de parte del agente en su rol de garante, el susceptible de ser aplicado por el juez, a la hora de pronunciarse respecto de la causalidad jurídica de los daños sanitarios...",Derecho Civil
11190199.pdf,Identificar los argumentos fácticos y jurídicos que permitirían justificar la incorporación de consideraciones relativas a la protección de grupos desaventajados en el diseño e implementación de medidas consistentes con la configuración doctrinaria del nudge. B. Objetivos específicos: (1) Examinar la compatibilidad entre el marco teórico que da sustento a la configuración doctrinaria del nudge y el que da sustento al concepto de grupos desaventajados. (2) Analizar los argumentos constitucionales que justificarían la incorporación de consideraciones relativas a la protección de grupos...,Derecho Político y Constitucional
11190230.pdf,"por lo tanto de esta propuesta consiste en determinar el régimen jurídico aplicable a los medios de tutela de que dispone el consumidor frente a un producto defectuoso a partir de la LPDC, examinando su ámbito de aplicación, presupuestos de procedencia, contenido, legitimidad y extensión de los imperativos a que da lugar, así como los efectos de su no satisfacción. Para lograr lo anterior, se deben alcanzar a su vez los siguientes objetivos específicos: la determinación de la seguridad esperable, así como del régimen jurídico aplicable a la responsabilidad infraccional que puede surgir a...",Derecho Económico y Comercial
11190310.pdf,"del proyecto es identificar y sistematizar los momentos, formas y metodologías conforme a los que la Constitución es utilizada en el Congreso Nacional en el marco del proceso legislativo nacional. Objetivos específicos 1. Lograr la identificación de los espacios y oportunidades en que la Constitución es utilizada por el Congreso Nacional en el proceso de formación de la ley. 2. OfrecerunmarcoteóricoquepermitadarcuentadelasdiferentesformasenqueelCongresoNacional utiliza la Constitución en el proceso de formación de la ley. 3. Reconstruir y sistematizar las metodologías a que el Congreso...",Derecho Político y Constitucional
11190344.pdf,"es construir una teoría normativa para la interpretación y aplicación de la norma general antielusiva –en adelante NGA– chilena determinando criterios de configuración de los conceptos que la constituyen, mediante el análisis de los criterios de aplicación de conceptos similares constitutivos de la NGA española, de manera que, aumentando la certeza jurídica de los contribuyentes, respete el principio de igualdad tributaria. El desarrollo del objetivo general de esta investigación se estructura mediante la realización de los siguientes cuatro objetivos específicos: a) Determinar criterios de...",Derecho Económico y Comercial
11190355.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: El principio de especialidad en la ejecución de la sanción de régimen cerrado de adolescentes. Entre el discurso y la realidad ÁLVARO CASTRO MORALES Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar).",Derecho Penal
11190442.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Dr. Jonatan Valenzuela La arquitectura probatoria del derecho de daños: hacia una conceptualización del derecho de daños desde el derecho probatorio Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar).",Derecho Civil
