filename,relevant_text_segment,assigned_subject
11190024.pdf,"lado por la doctrina chilena. No obstante, el interés y la relevancia de su estudio no es solo doctrinal, sino sobre todo práctico en la jurisprudencia, pues aún persiste divergencia en cómo está insuperabilidad debe ser comprendida para diferenciar el miedo insuperable del estado de necesidad. El objetivo general es analizar la naturaleza jurídica del miedo insuperable. Los objetivos específicos de la investigación son: 1. Estudiar el miedo insuperable a partir de la jurisprudencia y la dogmática chilena. 2. Indagar en las dificultades que presenta el miedo insuperable en la determinación e interpretación de sus requisitos. 3. Examinar cuáles son las diferencias o semejanzas que exhiben el miedo insuperable y el estado de necesidad. 4. Cuestionar una interpretación meramente objetiva y analógica del miedo insuperable en relación con el estado de necesidad y ofrecer un modelo alternativo. 5. Contrastar la investigación del miedo insuperable con casos de estado de necesidad en los cuales existe proporcionalidad y subsidiariedad. Nuestra hipótesis es que el miedo insuperable es una figura autónoma del estado de necesidad que requiere de una situación de peligro actual o inminente y una perturbación anímica en situaciones de necesidad. Así las cosas, comenzaremos reuniendo las fuentes bibliográficas pertinentes, para luego aproximarnos a dichos textos, analizando y sistematizando lo recopilado, a fin de presentar los resultados comprometidos: una interpretación del miedo insuperable acorde con la regulación chilena. Los resultados esperados son 2 artículos indexados (Scopus) y una publicación monográfica en una editorial nacional de prestigio. Por último, en el desarrollo de esta investigación se hará uso de una metodología propia de la dogmática jurídica, realizando un estudio de la naturaleza jurídica del miedo insuperable, con la finalidad de determinar cuál es el propósito de su creación y el rendimiento que tiene en nuestra jurisprudencia y dogmática. Lo anterior, con el objetivo de entregar una aproximación al objeto de estudio que nos permita comprender en qué se diferencia el miedo insuperable del estado de necesidad. La metodología de trabajo considera el análisis de textos legales, doctrinales; la elaboración de propuestas de reinterpretación teleológica objetiva y subjetiva que ayuden a la aplicación de las fuentes primarias que han incidido en dogmática penal actual. Esta metodología se complementará con un estudio jurisprudencial selectivo de algunas sentencias de la Corte Suprema y de Apelación de Chile y otras del Tribunal Supremo Español. Concurso de Proyectos FONDECYT de Iniciación en Investigación 2019",Filosofía del Derecho
11190036.pdf,"prueba ilícita en el proceso penal: más allá de la regla de exclusión Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Objetivo general: En el derecho chileno, el tratamiento de diversos problemas vinculados a la prueba ilícita en el proceso penal, que exceden las hipótesis reguladas por el legislador, constituye un aspecto, hasta ahora, escasamente abordado por la literatura nacional. Atendido que el tenor literal del artículo 276 inc. 3° del CPP, no abarca a totalidad de los problemas globalmente estudiados a partir de la mencionada teoría, el objetivo de este proyecto es efectuar un análisis de la exclusión de prueba en el proceso penal que exceda el análisis estricto de la regla referida. Se pretende enfocar la investigación en aquellos problemas reconocidos y abordados sobre todo por la doctrina y la jurisprudencia estadounidense y alemana, que –pese a su incidencia práctica- no han sido suficientemente tratados por la doctrina ni por la jurisprudencia nacional. Partiendo de un análisis acerca de la función perseguida por la regla de exclusión de la prueba obtenida con infracción de garantías, consagrada en el CPP chileno, la investigación busca posteriormente profundizar en el estudio de instituciones estrechamente vinculadas a dicha función, como lo son el tratamiento de la llamada prueba ilícita obtenida por particulares y las llamadas prohibiciones de prueba independientes. Igualmente se busca investigar un problema central en materia de ilicitud probatoria: la excepción del descubrimiento inevitable. Objetivos específicos: 1. Identificar la función que desempeña la regla de exclusión de prueba obtenida con inobservancia de garantías fundamentales (artículo 276 inc. 3°, segunda hipótesis CPP) en el derecho chileno. 2. Establecer criterios que permitan determinar las consecuencias jurídicas que genera una obtención de prueba con infracción de garantías fundamentales realizada por particulares en el Derecho chileno. 3. Determinar si la valoración de un medio de prueba, obtenido con plena observancia de reglas de obtención probatoria puede o no ser prohibida en el Derecho chileno, en virtud de las eventuales garantías fundamentales que dicha valoración misma podría infringir. 4. Determinar la procedencia, límites y requisitos específicos de aplicación en el Derecho chileno, de la llamada “excepción del descubrimiento inevitable”. Metodología: La metodología general a emplear en el proyecto será la propia de la disciplina jurídica, esto es, el análisis de doctrina, legislación y jurisprudencia de derecho interno y comparado, fundamentalmente EE.UU. y Alemania, ordenamientos en los cuales las temáticas abordadas han sido profusamente discutidas y que, a su vez, constituyen los principales modelos de inspiración de la regulación chilena vigente. Para cumplir con los objetivos específicos, se abordará el tema desde una perspectiva teórica, enfatizando, sin embargo, las consecuencias prácticas que las soluciones propuestas acarrean. El proyecto utilizará el método funcionalista, el cual examina distintos sistemas jurídicos a partir de preguntas o problemas específicos que orientan el análisis. Resultados esperados: (1) Publicación de un total de cuatro artículos en ...",Derecho Procesal
11190168.pdf,"ante este riesgo. De esta forma, es posible generar guías de alerta y recomendaciones dirigidas, especialmente, a aquellos pequeños y medianos inversores locales en el extranjero que -en ocasiones- no tienen el respaldo ni la experiencia de los grandes inversionistas en este tipo de situaciones. El objetivo general de esta Investigación consiste en determinar, a partir del análisis de la práctica arbitral, la existencia de pautas para la formulación de políticas públicas para la protección de inversiones chilenos en el exterior ante expropiaciones indirectas. Los objetivos específicos son tres: 1. Analizar los criterios utilizados por los tribunales arbitrales para determinar la existencia de expropiaciones indirectas; 2. Presentar, a partir de los hallazgos encontrados, sugerencias de carácter legal y fáctico a inversionistas chilenos que constituyan alertas de posibles situaciones de riesgo de expropiación indirecta; y, 3. Proponer recomendaciones en pro del dictamen de medidas y guías de buenas prácticas que coadyuven a los órganos competentes chilenos en la orientación al inversor local en el exterior en la materia. El proyecto propuesto representa una investigación esencialmente jurídica que pretende dinamizar la vinculación de la academia con el medio empresarial y órganos públicos competentes chilenos en esta especial área. Como el eje del estudio se encuentra en el análisis de posibles recomendaciones y claves de políticas públicas para la protección del inversor chileno más allá de sus fronteras, además de los elementos y conceptos del Derecho Internacional de las Inversiones, se considerarán también otras disciplinas como la Economía y la Ciencia Política. La metodología se centrará en el método inductivo para el análisis de casos y posterior formulación de respuestas a la problemática planteada. Partiendo de los objetivos propuestos, los productos esperados de esta investigación son: 1. El envío a publicación de, al menos, dos artículos a una revista indexada Scopus o equivalente, en castellano e inglés; 2. La realización de seminarios y workshops con la comunidad académica e instituciones chilenas públicas y privadas; 3. La celebración de actividades de vinculación con el medio para la divulgación los resultados en Chile en medios de comunicación y ante instituciones públicas y privadas en 2021; y, 4. La dirección de tesis de alumnos, cursantes de la Carrera de Derecho, interesados en esta materia. Concurso de Proyectos FONDECYT de Iniciación en Investigación 2019",Derecho Internacional
11190188.pdf,"l demandado debe asumir el peso indemnizatorio, detectándose dos caminos: el de una responsabilidad in solidum, o el de una responsabilidad proporcional relativa al cálculo porcentual o estadístico en que su acción sea el origen del agravio. Proponemos aquí un ejercicio conjunto de ambos criterios. Objetivo general. Formular un estudio sistemático relativo a las adaptaciones que ha experimentado el derecho de la responsabilidad en diversas latitudes en lo que respecta la demostración de la causalidad, cuando es reconocida como difusa o alternativa, e inserta en un contexto de injustificación científica vinculado a la salud pública. Ello nos permitirá justificar, en primer lugar, que es el criterio de creación anormal de un riesgo, de parte del agente en su rol de garante, el susceptible de ser aplicado por el juez, a la hora de pronunciarse respecto de la causalidad jurídica de los daños sanitarios inciertos; y en segundo lugar, que resulta conveniente integrar un modelo que combine la aproximación resarcitoria in solidum y la proporcional en asuntos de causalidad alternativa. Objetivos específicos. a) Analizar y describir dogmáticamente las principales soluciones que se han elaborado con el propósito de integrar el nexo causal a la luz de contingencias de causalidad difusa o alternativa. b) Explicar las dificultades que resultan de la aplicación de las soluciones antes indicadas a los problemas de causalidad difusa o alternativa. c) Exponer, mediante su conocimiento y reflexión, las tendencias imperantes en las legislaciones analizadas, relativas al tratamiento de las soluciones brindadas por la ley, por la jurisprudencia o por ambas, a problemas de causalidad difusa o alternativa. d) Identificar las razones de la resistencia en el sentido de abordar mediante criterios casuales normativos contingencias sanitarias de origen difuso o alternativo; y a su turno, las razones de su reconocimiento detectable en otras. e) Verificar y comprobar, mediante un estudio comparativo, la factibilidad de la comunicación entre las soluciones resarcitorias expuestas a los problemas causalidad difusa o alternativa, adoptadas en derechos de tradición u origen diverso. Metodología. El proyecto que sometemos a evaluación se sostiene en una metodología funcional de derecho comparado, difundida por los alemanes Konrad Zweigert y Hein Kötz. En este sentido, a partir de una misma contingencia de naturaleza sanitaria científicamente inconexa, o grupos de contingencias marcadas por la misma incerteza y de la misma naturaleza, proyectamos analizar las soluciones a través de las cuales han sido abordadas en diversos derechos. Así, nos preocuparemos por precisar las respuestas de carácter técnico – jurídicas adoptadas en el marco de la tutela a los intereses de las víctimas de este tipo de daños. Sin perjuicio de lo anterior se emplearán las herramientas propias de la dogmática jurídica. En tal sentido, nos apoyaremos en la metodología inductiva con el propósito de colegir las consecuencias del fenómeno estudiado con el propósito de dar confirmación a nuestra hipótesis, las que a continuación serán sistematizadas. Resultado esperado: tres artículos en revistas de indización Scielo u otra equivalente, además de actividades de extensión que digan relación con el objeto de este proyecto. ...",Derecho Civil
11190199.pdf,"ajados en el diseño e implementación de medidas consistentes con la configuración teórica del nudge, como exigencia derivada tanto del principio constitucional de igualdad y no discriminación como de la evidencia empírica que sugiere distintos ámbitos de tensión entre aquéllos y éstas. OBJETIVOS A. Objetivo general: Identificar los argumentos fácticos y jurídicos que permitirían justificar la incorporación de consideraciones relativas a la protección de grupos desaventajados en el diseño e implementación de medidas consistentes con la configuración doctrinaria del nudge. B. Objetivos específicos: (1) Examinar la compatibilidad entre el marco teórico que da sustento a la configuración doctrinaria del nudge y el que da sustento al concepto de grupos desaventajados. (2) Analizar los argumentos constitucionales que justificarían la incorporación de consideraciones relativas a la protección de grupos desaventajados en el diseño e implementación de medidas consistentes con la configuración doctrinaria del nudge. (3) Evaluar las implicancias normativas de las fuentes de evidencia empírica que sugieren ámbitos de tensión entre la protección de grupos desaventajados y el uso de técnicas regulatorias consistentes con la construcción teórica del nudge. METODOLOGÍA A fin de alcanzar los objetivos propuestos, esta investigación adopta el enfoque del análisis conductual del derecho (behavioural analysis of law), en su variante teórica. En dicha variante, el análisis conductual del derecho versa sobre la aplicabilidad teórica de los hallazgos empíricos de la psicología cognitiva, de la economía conductual o de otras ciencias del comportamiento en contextos legales y evalúa a la luz de los mismos las normas jurídicas vigentes o en discusión (SUNSTEIN, 1997; TOR, 2008, pp. 243 y 274; ULEN, 2014). Se recurre a él con el propósito de identificar y analizar críticamente las premisas en que se apoya la configuración teórica del nudge. RESULTADOS ESPERADOS Al término de la investigación se espera obtener como resultado la publicación de cuatro artículos en revistas indexadas (Scielo, Scopus o WoS). El primer artículo abordará la posibilidad de articular el marco teórico subyacente al nudge con el marco teórico subyacente al concepto de grupos desaventajados. El segundo, versará sobre las implicancias constitucionales de la adopción del nudge como nueva técnica de regulación, desde la perspectiva del principio de igualdad y no discriminación. El tercer y cuarto artículo, por su parte, consistirán en estudios de casos de nudges adoptados en Chile, evaluados a la luz de sus efectos redistributivos respecto de grupos desaventajados. Concurso de Proyectos FONDECYT de Iniciación en Investigación 20198",Derecho Político y Constitucional
11190230.pdf,"ntre nosotros, un estudio detallado y sistemático de los mecanismos de tutela del consumidor frente a un producto defectuoso. La investigación que se propone tiene por objeto hacerse cargo de tal falencia, analizando los dos aspectos ya mencionados: la seguridad esperable y los medios de tutela. El objetivo general por lo tanto de esta propuesta consiste en determinar el régimen jurídico aplicable a los medios de tutela de que dispone el consumidor frente a un producto defectuoso a partir de la LPDC, examinando su ámbito de aplicación, presupuestos de procedencia, contenido, legitimidad y extensión de los imperativos a que da lugar, así como los efectos de su no satisfacción. Para lograr lo anterior, se deben alcanzar a su vez los siguientes objetivos específicos: la determinación de la seguridad esperable, así como del régimen jurídico aplicable a la responsabilidad infraccional que puede surgir a partir del producto defectuoso, la garantía legal, la acción indemnizatoria propia de la responsabilidad por productos, y a los medios de tutela preventivos de seguridad (observación, información y retirada) o bien relacionados con la publicidad (suspensión de la publicidad y publicidad correctiva). Se utilizará la metodología analítica, exegética y hermenéutica, considerándose fuente directa a la LPDC, y secundarias al CC, leyes reguladoras de los JPL, Ley 19.966, Ley 20.850, CSan, la LGUC, entre otros. También, se recurrirá a los trabajos realizados por juristas sobre la materia. Por otra parte, la investigación se centrará en el comportamiento jurisprudencial. Se recurrirá también a las siguientes legislaciones comparadas: experiencia anglosajona (precursora respecto del objeto de estudio), régimen comunitario europeo (armonización interna e influencia acerca de objeto de estudio), sistema español (LGDCU fuente de LPDC), italiano (codificación del Derecho de Consumo que incluye objeto de estudio), francés (Code informa CC Chileno -régimen que se postula como supletorio respecto de la acción indemnizatoria-, además de contar con un Código de Consumo), alemán (uno de los objetivos de la reforma del BGB del año 2002 fue trasponer las directivas sobre consumo), legislaciones latinoamericanas codificadas e influenciadas por la legislación comunitaria (Brasil y Perú), y Argentina (propuesta de anteproyecto que se hace cargo del objeto de estudio). Se espera que los resultados de la investigación, ofrezcan una solución científica del problema, la cual se plasmará en los siguientes productos mínimos, alineados con los objetivos específicos declarados (por espacio, sólo se enuncian). De las publicaciones ofrecidas, al menos dos corresponderán a artículos de investigación, en revistas con indexación wos (ex -isi) o scopus. Objetivo específico a) Seguridad esperable. b) Responsabilidad infraccional c) Garantía legal. d) Acción indemnizatoria e) Medios de tutela preventivos. Producto. Artículo de Exposición Artículo de Artículo de Artículo de Exposición Artículo de investigación, o capítulo de libro o comentario de sentencia. en seminario, coloquio o congreso. investigación, capítulo de libro o comentario de sentencia. investigación, capítulo de libro o comentario de sentencia. investigación, o capítulo de libro o comentario de sentencia. en seminario, coloquio o congreso. investigación, capítulo de libro o comentario de sentencia. Concurso de Proyectos FONDECYT de Iniciación en Investigación ...",Derecho Económico y Comercial
11190310.pdf,"to al definir los contornos del proceso legislativo, como en la práctica legislativa que se desarrolla al amparo de sus preceptos (por ej. al permitirles reclamar la constitucionalidad o no de los proyectos de ley que se discuten), aunque no sabemos bien cómo y de conformidad a qué metodologías. El Objetivo general del proyecto es identificar y sistematizar los momentos, formas y metodologías conforme a los que la Constitución es utilizada en el Congreso Nacional en el marco del proceso legislativo nacional. Objetivos específicos 1. Lograr la identificación de los espacios y oportunidades en que la Constitución es utilizada por el Congreso Nacional en el proceso de formación de la ley. 2. OfrecerunmarcoteóricoquepermitadarcuentadelasdiferentesformasenqueelCongresoNacional utiliza la Constitución en el proceso de formación de la ley. 3. Reconstruir y sistematizar las metodologías a que el Congreso Nacional echa mano, tanto para determinar los espacios y oportunidades (identificados en 1), como en los usos sustantivos de la propia Constitución. 4. Establecer las relaciones ya institucionales (por ej. a través de informes que debe remitir la Corte Suprema) o de otro tipo (por ej. por medio citas a expertos) que el Congreso Nacional traba con otros actores que intervienen durante el proceso de formación de las leyes y que inciden en su práctica legislativa. Metodología: La metodología que sustenta este proyecto es compleja. (i) En primer lugar y para efectos de un análisis de los aspectos abstractos de los objetivos específicos 1 y 2, se recurrirá al análisis de normas jurídicas (constitucionales, legales y reglamentarias), así como a la sistematización de la literatura nacional, con el objeto de ordenar el proceso legislativo, y comparada, para configurar los marcos conceptuales necesarios para conceptualizar la práctica legislativa. (ii) Enseguida, y para efectos de reconstruir la práctica parlamentaria, (los objetivos específicos 3 y 4), se indagarán fuentes secundarias que sistematizan el proceso legislativo, analizando y escrutando la práctica legislativa seleccionada para esta investigación. Se recurrirá, también, a entrevistas semiestructuradas a actores relevantes del proceso. Resultados esperados: una sistematización de los momentos institucionales y prácticas legislativas del proceso de formación de la ley que evidencien los usos que el Congreso Nacional hace de la Constitución. Productos comprometidos: para 3 años son: 1. 2artículos(scopusoequivalenteoISIoequivalente)deautoríadelinvestigadorresponsable. 2. Realizacióndedosseminarios(unoensedeparlamentaria)yuntaller. 3. Presentacióndelosavancesyborradoresdelosartículosenseminarios. 4. Direcciónde2tesisdepregradooposgrado. Concurso de Proyectos FONDECYT de Iniciación en Investigación 2019",Derecho Político y Constitucional
11190344.pdf,"Contenido: RESUMEN DE LA PROPUESTA DE INVESTIGACIÓN Patricia Andrea Toledo Zúñiga 1. OBJETIVOS Este proyecto de investigación tiene por objeto de estudio la elusión fiscal. Su objetivo general es construir una teoría normativa para la interpretación y aplicación de la norma general antielusiva –en adelante NGA– chilena determinando criterios de configuración de los conceptos que la constituyen, mediante el análisis de los criterios de aplicación de conceptos similares constitutivos de la NGA española, de manera que, aumentando la certeza jurídica de los contribuyentes, respete el principio de igualdad tributaria. El desarrollo del objetivo general de esta investigación se estructura mediante la realización de los siguientes cuatro objetivos específicos: a) Determinar criterios de configuración del concepto ""abuso de las formas jurídicas"" como modalidad de elusión fiscal y del concepto ""economía de opción"" constitutivos de la NGA chilena, mediante el análisis de los criterios de aplicación de los conceptos ""calificación"" y ""conflicto en la aplicación de la norma tributaria"", constitutivos de la NGA española; b) Determinar criterios de configuración del concepto ""simulación tributaria"" como modalidad de elusión fiscal constitutivo de la NGA chilena, mediante el análisis de los criterios de aplicación del concepto ""simulación"" constitutivo de la NGA española; c) Concretizar el campo de aplicación del ""principio de prevalencia de la sustancia sobre la forma"" constitutivo de la NGA chilena, mediante el análisis de los criterios de aplicación del concepto ""calificación"" y ""prohibición de la analogía"", constitutivos de la NGA española; d) Determinar criterios de configuración del concepto ""diseño o planificación de conductas constitutivas de elusión"" como supuesto de aplicación de la sanción del artículo 100 bis del CT, mediante el análisis de los criterios de aplicación del supuesto del artículo 206 bis de la LGT 58/2003, constitutivo de la NGA española. 2. METODOLOGÍA La metodología de la investigación propuesta implica un estudio jurisprudencial y un estudio dogmático. El estudio jurisprudencial supone el análisis de resoluciones judiciales españolas que han aplicado conceptos que constituyen la NGA española y que resultan asimilables a los conceptos que constituyen la NGA chilena. La sistematización de los criterios de aplicación de tales conceptos se realizará considerando los aportes de la doctrina española, mediante la aplicación del modelo de análisis lógico de sistemas normativos desarrollado en Normative Systems (ALCHOURRÓN & BULYGIN, 1974). El estudio dogmático supone la determinación de los criterios de configuración de los conceptos que constituyen la NGA chilena. Este proceso implica conocer la legislación, jurisprudencia y doctrina tributarias españolas y reconocer las particularidades del Derecho tributario chileno. 3. RESULTADOS ESPERADOS La realización de esta investigación permitirá la redacción de tres artículos científicos que sistematicen criterios configuración de conceptos que constituyen la NGA chilena, permitiendo avanzar en una teoría normativa para su interpretación y aplicación. Además, permitirá la organización de tres seminarios de investigación y difusión del Derecho tributario, desde una Universidad regional del sur de nuestro país, donde participarán investigadores, nacionales y extranjeros, dispuestos a debatir y reflexionar sobre el fenómeno de la elusión fiscal en Chile. 1 Nombre Inv. Responsable: Título Proyecto: Elusión ...",Derecho Económico y Comercial
11190355.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: El principio de especialidad en la ejecución de la sanción de régimen cerrado de adolescentes. Entre el discurso y la realidad ÁLVARO CASTRO MORALES Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Fundamentos teóricos, novedad científica y potencial impacto del proyecto. La garantía de un sistema penal especializado para los adolescentes infractores constituye una de las principales novedades que contempla la LRPA en nuestro país. En lo que dice relación con la ejecución de las sanción privativa de libertad de los adolescentes, la LRPA no ha sido lo suficientemente clara al establecer la diferencia con el sistema penitenciario adulto. Si bien, el legislador se encargó de desarrollar en la LRPA un conjunto de normas destinadas a asegurar una ejecución especializada de las sanciones totalmente diferenciada de la de los adultos, tanto desde el punto de vista de los lugares de cumplimiento, sus modalidades, como de las instituciones encargadas de su ejecución, están no son suficientes. En temas vinculados con los traslados, visitas, beneficios, sanción disciplinaria, uso de la fuerza, acceso a actividades de reinserción social y control de las sanciones disciplinarias, la LRPA, nada expresa, y entrega la facultad de regulación y control al ejecutivo. También deficitario ha sido en la LRPA, la cuestión relativa hasta cuándo debe extenderse la especialidad y qué pasa con aquellos condenados que durante la ejecución de la sanción privativa de libertad de adolescentes han dejado de ser menores de edad. Más allá de esas reglas explicitadas por el legislador y el ejecutivo, la especialidad de la ejecución de la sanción privativa de libertad de los adolescentes, va más allá, deriva de la aplicación de principios jurídicos especiales y generales establecidos en la Constitución Política de la República, Tratados Internacionales y en la propia LRPA. Los objetivos del proyecto son: (1) Identificar y sistematizar los principios jurídicos establecidos en la Constitución, los Tratados Internacionales ratificados por Chile y la LRPA y su Reglamento, de los que se derivan estándares especiales para la aplicación de instituciones y reglas de ejecución de la pena de régimen cerrado de adolescentes, y resolver los problemas dogmáticos surgidos por eventuales colisiones de principios de base constitucional, por la integración de normas de diverso rango y por la superposición de normas generales y especiales. (2)Evaluar en qué medida los estándares especiales que deben aplicarse a los adolescentes sujetos a la pena de régimen cerrado están siendo reconocidos y aplicados por los tribunales chilenos, especialmente Corte Suprema y las cortes de apelaciones, al resolver los recursos de amparo, protección y apelación que se hayan interpuesto a favor de los adolescentes que cumplen la sanción de régimen cerrado.(3)Evaluar en qué medida los estándares especiales que deben aplicarse a los adolescentes sujetos a la pena de régimen cerrado están siendo reconocidos y aplicados por el Servicio Nacional de Menores. El potencial ...",Derecho Penal
11190442.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Dr. Jonatan Valenzuela La arquitectura probatoria del derecho de daños: hacia una conceptualización del derecho de daños desde el derecho probatorio Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Se ha sostenido que la acción indemnizatoria por daño es la más general de las acciones de responsabilidad. Uno de los desafíos vigentes en este terreno es la prueba de las diversas formas de daño. En la presente investigación se propone el desarrollo de una línea de trabajo referido al uso del arsenal conceptual del derecho probatorio en búsqueda de una mejor comprensión de los problemas planteados en el contexto del derecho de daños. El daño es una categoría jurídica cuyo papel central en la estructura de los juicios de responsabilidad no ha sido analizado desde la óptica puramente probatoria. En el escenario del derecho de daños existen preguntas importantes sobre la prueba de los supuestos de hecho de la responsabilidad civil extracontractual: sobre el acaecimiento de hechos y su cognoscibilidad que han sido tratadas sin un análisis suficientemente claro de los principales problemas que se enfrentan en el juicio de responsabilidad civil por daño. Una primera cuestión es la ausencia de la discusión relativa al diseño del estándar de prueba en el sistema civil. Este no es un defecto de la doctrina civil ni de la doctrina sobre daños, sino que es un vacío que en los últimos ha comenzado a avizorarse por la doctrina procesal. Se ha asociado a las diversas formas de daño diversas consideraciones acerca de su prueba. El primer punto a abordar es la noción general de “objetividad”. En el caso del daño patrimonial emergente pasado, pareciera que la posición dominante asume que debe enfrentarse un escenario “tradicional” en el que el juez debe razonar conforme con las evidencias disponibles, reconstruyendo el pasado y pudiendo, objetivamente, definir el daño (considerando fundamentalmente la existencia de medios probatorios que pueden ser reconocidos con relativa facilidad). Es decir, parece ser objetividad como equivalencia a verdad: es objetivamente apreciable porque es, en determinado contexto de verificación, verdadero. El segundo punto es la exigencia de antecedentes estadísticos relativos a la prueba del daño patrimonial emergente futuro. Existen dos campos en los cuales puede desarrollarse el problema. En primer lugar, la existencia de una contingencia derivada de una propiedad conceptualmente relevante de esa clase de daño (el futuro) no podría excluir la exigencia de objetividad de la prueba que se formula para el caso de la prueba del daño patrimonial emergente pasado. En segundo lugar, la idea de regularidad estadística no debe ser interpretada como un “déficit” de objetividad. El tercer punto es la exigencia de probabilidad o reconocimiento de un “curso normal de las cosas”. En el caso del lucro cesante existe ciertamente un desafío inferencial en términos de poder asociar la concurrencia del daño con el detrimento ...",Derecho Civil
